,inDegree,count
0,31,131
1,32,188
2,33,102
3,34,114
4,35,100
5,36,62
6,37,65
7,38,78
8,39,49
9,40,53
10,41,44
11,42,55
12,43,76
13,44,44
14,45,40
15,46,46
16,47,54
17,48,29
18,49,26
19,50,22
20,51,21
21,52,30
22,53,24
23,54,16
24,55,33
25,56,12
26,57,10
27,58,14
28,59,10
29,60,8
30,61,15
31,62,17
32,63,8
33,64,12
34,65,6
35,66,3
36,67,7
37,68,7
38,69,4
39,70,3
40,71,6
41,72,6
42,74,6
43,75,8
44,76,5
45,77,2
46,78,4
47,79,3
48,80,4
49,81,6
50,82,8
51,83,2
52,84,2
53,86,3
54,88,2
55,89,3
56,90,2
57,91,2
58,92,2
59,93,2
60,99,1
61,100,1
62,101,3
63,103,1
64,104,2
65,105,2
66,106,1
67,107,2
68,112,1
69,114,2
70,115,2
71,116,1
72,120,2
73,123,1
74,125,2
75,131,2
76,135,1
77,139,1
78,140,1
79,146,1
80,149,1
81,150,1
82,157,1
83,162,1
84,173,1
85,1,5003
86,2,10257
87,3,11772
88,4,11097
89,204,1
90,5,12264
91,6,9019
92,7,6716
93,8,4807
94,9,3810
95,10,2881
96,11,2407
97,12,1835
98,13,1454
99,213,1
100,14,1291
101,15,1187
102,16,935
103,17,729
104,18,675
105,19,635
106,20,500
107,21,399
108,22,349
109,23,272
110,24,249
111,25,228
112,26,234
113,27,226
114,28,154
115,29,177
116,30,117
